Type of Property,Floor Size,Levies,Rates and Taxes,Pets Allowed,Lounge,Garage,Garden,price,Erf Size,Kitchen,Pool,Dining Room,Parking,Bathroom,Bedroom
0.0,282.0,950.0,1500.0,1,1.0,2.0,1.0,3100000,1.0,1.0,1.0,1.0,3.0,3.0,1.0
1.0,50.0,1383.0,545.0,1,1.0,0.0,0.0,645000,50.0,1.0,1.0,0.0,1.0,3.0,1.0
0.0,150.0,1932.0,500.0,1,0.0,1.0,0.0,2390000,300.0,1.0,0.0,1.0,0.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,1.0,0.0,1350000,756.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,130.0,800.0,359.0,1,1.0,0.0,1.0,2950000,448.0,1.0,1.0,1.0,2.0,3.0,1.0
2.0,282.0,1932.0,1151.0,0,0.0,0.0,0.0,1850000,190.0,1.0,0.0,1.0,0.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,0.0,1.0,1850000,1.0,0.0,1.0,0.0,6.0,3.0,1.0
1.0,58.0,1550.0,300.0,1,0.0,1.0,0.0,1095000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
1.0,282.0,1932.0,1151.0,1,0.0,0.0,0.0,645000,9102.0,1.0,0.0,0.0,0.0,3.0,1.0
0.0,524.0,1100.0,3200.0,0,1.0,4.0,0.0,6500000,845.0,0.0,0.0,1.0,0.0,3.0,1.0
1.0,72.0,1600.0,650.0,1,0.0,0.0,0.0,990000,9102.0,1.0,1.0,0.0,0.0,3.0,1.0
2.0,115.0,1400.0,401.0,0,0.0,0.0,0.0,860000,9102.0,1.0,0.0,1.0,0.0,3.0,1.0
2.0,1.0,1550.0,520.0,1,1.0,0.0,1.0,990000,1.0,0.0,1.0,1.0,3.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,2.0,0.0,4300000,1.0,2.0,0.0,1.0,2.0,3.0,1.0
0.0,282.0,1499.0,1247.0,1,1.0,2.0,1.0,3300000,828.0,0.0,1.0,1.0,2.0,3.0,1.0
